id,user_id,time,lat,lng,type,inf,falsePostive,out,sim_id,peer_id,contact_length,quiz_id,modifier,score
351015,1711,1613759318,0,0,falsePositive,,-,,39,,0,0,,0
353079,1857,1613776196,0,0,falsePositive,,+,,39,,0,0,,0
353435,1857,1613781661,0,0,falsePositive,,-,,39,,0,0,,0
353575,1857,1613784187,0,0,falsePositive,,-,,39,,0,0,,0
354078,1758,1613794396,0,0,falsePositive,,-,,39,,0,0,,0
354079,2060,1613794400,0,0,outcome,,,ESCAPED,39,,0,0,,0
354222,1857,1613797116,0,0,falsePositive,,-,,39,,0,0,,0
354564,1748,1613802829,0,0,falsePositive,,-,,39,,0,0,,0
355407,1857,1613821473,0,0,falsePositive,,-,,39,,0,0,,0
355554,1857,1613826779,0,0,falsePositive,,-,,39,,0,0,,0
355555,1857,1613826779,0,0,falsePositive,,+,,39,,0,0,,0
355556,1857,1613826909,0,0,falsePositive,,+,,39,,0,0,,0
355557,1857,1613826921,0,0,falsePositive,,+,,39,,0,0,,0
355558,1857,1613826931,0,0,falsePositive,,-,,39,,0,0,,0
355559,1857,1613826962,0,0,falsePositive,,+,,39,,0,0,,0
355638,2093,1613830788,0,0,falsePositive,,positive,,39,,0,0,,0
355718,1676,1613834082,0,0,falsePositive,,+,,39,,0,0,,0
355719,1676,1613834094,0,0,falsePositive,,-,,39,,0,0,,0
355720,1857,1613834130,0,0,falsePositive,,+,,39,,0,0,,0
355721,1857,1613834150,0,0,falsePositive,,-,,39,,0,0,,0
355722,1857,1613834166,0,0,falsePositive,,+,,39,,0,0,,0
355723,1857,1613834190,0,0,falsePositive,,-,,39,,0,0,,0
355804,1746,1613836826,0,0,falsePositive,,-,,39,,0,0,,0
355805,1857,1613836826,0,0,falsePositive,,-,,39,,0,0,,0
355806,1813,1613836859,0,0,outcome,,,RECOVERED,39,,0,0,,0
355888,1756,1613838280,0,0,falsePositive,,-,,39,,0,0,,0
355970,1857,1613840667,0,0,falsePositive,,+,,39,,0,0,,0
355971,1857,1613840691,0,0,falsePositive,,-,,39,,0,0,,0
355972,1790,1613840712,0,0,falsePositive,,+,,39,,0,0,,0
355973,1790,1613840726,0,0,falsePositive,,-,,39,,0,0,,0
356052,1857,1613842019,0,0,falsePositive,,-,,39,,0,0,,0
356206,1857,1613844544,0,0,falsePositive,,-,,39,,0,0,,0
356207,1790,1613844564,0,0,falsePositive,,+,,39,,0,0,,0
356208,1790,1613844570,0,0,falsePositive,,-,,39,,0,0,,0
356209,1857,1613844580,0,0,falsePositive,,+,,39,,0,0,,0
356283,1790,1613846390,0,0,falsePositive,,+,,39,,0,0,,0
356427,1790,1613849077,0,0,falsePositive,,-,,39,,0,0,,0
